CWE-ID,Description,CVE
1004,"The software uses a cookie to store sensitive information, but the cookie is not marked with the HttpOnly flag.",NA
1004,"The HttpOnly flag directs compatible browsers to prevent client-side script from accessing cookies. Including the HttpOnly flag in the Set-Cookie HTTP response header helps mitigate the risk associated with Cross-Site Scripting (XSS) where an attacker's script code might attempt to read the contents of a cookie and exfiltrate information obtained. When set, browsers that support the flag will not reveal the contents of the cookie to a third party via client-side script executed via XSS.",NA
1004,"An HTTP cookie is a small piece of data attributed to a specific website and stored on the user's computer by the user's web browser. This data can be leveraged for a variety of purposes including saving information entered into form fields, recording user activity, and for authentication purposes. Cookies used to save or record information generated by the user are accessed and modified by script code embedded in a web page. While cookies used for authentication are created by the website's server and sent to the user to be attached to future requests. These authentication cookies are often not meant to be accessed by the web page sent to the user, and are instead just supposed to be attached to future requests to verify authentication details.",NA
1004,"If the HttpOnly flag is not set, then sensitive information stored in the cookie may be exposed to unintended parties.",NA
1004,"If the cookie in question is an authentication cookie, then not setting the HttpOnly flag may allow an adversary to steal authentication data (e.g., a session ID) and assume the identity of the user.",NA
1007,"The software displays information or identifiers to a user, but the display mechanism does not make it easy for the user to distinguish between visually similar or identical glyphs (homoglyphs), which may cause the user to misinterpret a glyph and perform an unintended, insecure action.",NA
1007,"Some glyphs, pictures, or icons can be semantically distinct to a program, while appearing very similar or identical to a human user. These are referred to as homoglyphs. For example, the lowercase ""l"" (ell) and uppercase ""I"" (eye) have different character codes, but these characters can be displayed in exactly the same way to a user, depending on the font. This can also occur between different character sets. For example, the Latin capital letter ""A"" and the Greek capital letter ""Α"" (Alpha) are treated as distinct by programs, but may be displayed in exactly the same way to a user. Accent marks may also cause letters to appear very similar, such as the Latin capital letter grave mark ""À"" and its equivalent ""À"" with the acute accent.",NA
1007,"Adversaries can exploit this visual similarity for attacks such as phishing, e.g. by providing a link to an attacker-controlled hostname that looks like a hostname that the victim trusts. In a different use of homoglyphs, an adversary may create a back door username that is visually similar to the username of a regular user, which then makes it more difficult for a system administrator to detect the malicious username while reviewing logs.",NA
1007,"An attacker may ultimately redirect a user to a malicious website, by deceiving the user into believing the URL they are accessing is a trusted domain. However, the attack can also be used to forge log entries by using homoglyphs in usernames. Homoglyph manipulations are often the first step towards executing advanced attacks such as stealing a user's credentials, Cross-Site Scripting (XSS), or log forgery. If an attacker redirects a user to a malicious site, the attacker can mimic a trusted domain to steal account credentials and perform actions on behalf of the user, without the user's knowledge. Similarly, an attacker could create a username for a website that contains homoglyph characters, making it difficult for an admin to review logs and determine which users performed which actions.",NA
1007,"This weakness may occur when characters from various character sets are allowed to be interchanged within a URL, username, email address, etc. without any notification to the user or underlying system being used.",NA
102,"The application uses multiple validation forms with the same name, which might cause the Struts Validator to validate a form that the programmer does not expect.",NA
102,"If two validation forms have the same name, the Struts Validator arbitrarily chooses one of the forms to use for input validation and discards the other. This decision might not correspond to the programmer's expectations, possibly leading to resultant weaknesses. Moreover, it indicates that the validation logic is not up-to-date, and can indicate that other, more subtle validation errors are present.",NA
1021,"The web application does not restrict or incorrectly restricts frame objects or UI layers that belong to another application or domain, which can lead to user confusion about which interface the user is interacting with.",NA
1021,"A web application is expected to place restrictions on whether it is allowed to be rendered within frames, iframes, objects, embed or applet elements. Without the restrictions, users can be tricked into interacting with the application when they were not intending to.",NA
1021,"An attacker can trick a user into performing actions that are masked and hidden from the user's view. The impact varies widely, depending on the functionality of the underlying application. For example, in a social media application, clickjacking could be used to trik the user into changing privacy settings.",NA
1022,"The web application produces links to untrusted external sites outside of its sphere of control, but it does not properly prevent the external site from modifying  security-critical properties of the window.opener object, such as the location property.",NA
1022,"When a user clicks a link to an external site (""target""), the target=""_blank"" attribute causes the target site's contents to be opened in a new window or tab, which runs in the same process as the original page. The window.opener object records information about the original page that offered the link.  If an attacker can run script on the target page, then they could read or modify certain properties of the window.opener object, including the location property - even if the original and target site are not the same origin.  An attacker can modify the location property to automatically redirect the user to a malicious site, e.g. as part of a phishing attack. Since this redirect happens in the original window/tab - which is not necessarily visible, since the browser is focusing the display on the new target page - the user might not notice any suspicious redirection.",NA
1022,The user may be redirected to an untrusted page that contains undesired content or malicious script code.,NA
1022,This weakness is introduced during the design of an application when the architect does not specify that a linked external document should not be able to alter the location of the calling page.,NA
1022,This weakness is introduced during the coding of an application when the developer does not include the noopener and/or noreferrer value for the rel attribute.,NA
1023,"The software performs a comparison between entities that must consider multiple factors or characteristics of each entity, but the comparison does not include one or more of these factors.",NA
1023,"  An incomplete comparison can lead to resultant weaknesses, e.g., by operating on the wrong object or making a security decision without considering a required factor.   ",NA
1024,"The software performs a comparison between two entities, but the entities are of different, incompatible types that cannot be guaranteed to provide correct results when they are directly compared.",NA
1024,"In languages that are strictly typed but support casting/conversion, such as C or C++, the programmer might assume that casting one entity to the same type as another entity will ensure that the comparison will be performed correctly, but this cannot be guaranteed.  In languages that are not strictly typed, such as PHP or JavaScript, there may be implicit casting/conversion to a type that the programmer is unaware of, causing unexpected results; for example, the string ""123"" might be converted to a number type.  See examples.",NA
1025,"The code performs a comparison between two entities, but the comparison examines the wrong factors or characteristics of the entities, which can lead to incorrect results and resultant weaknesses.",NA
1025,"This can lead to incorrect results and resultant weaknesses.  For example, the code might inadvertently compare references to objects, instead of the relevant contents of those objects, causing two ""equal"" objects to be considered unequal.",NA
103,"The application has a validator form that either does not define a validate() method, or defines a validate() method but does not call super.validate().",NA
103,"If you do not call super.validate(), the Validation Framework cannot check the contents of the form against a validation form. In other words, the validation framework will be disabled for the given form.",NA
103,"The Struts Validator uses a form's validate() method to check the contents of the form properties against the constraints specified in the associated validation form. That means the following classes have a validate() method that is part of the validation framework: ValidatorForm, ValidatorActionForm, DynaValidatorForm, and DynaValidatorActionForm. If you create a class that extends one of these classes, and if your class implements custom validation logic by overriding the validate() method, you must call super.validate() in your validate() implementation.",NA
103,"Disabling the validation framework for a form exposes the application to numerous types of attacks. Unchecked input is the root cause of vulnerabilities like cross-site scripting, process control, and SQL injection.",NA
103,"Although J2EE applications are not generally susceptible to memory corruption attacks, if a J2EE application interfaces with native code that does not perform array bounds checking, an attacker may be able to use an input validation mistake in the J2EE application to launch a buffer overflow attack.",NA
1037,"The developer builds a security-critical protection mechanism into the software, but the processor optimizes the execution of the program such that the mechanism is removed or modified.",NA
1037,A successful exploitation of this weakness will change the order of an application's execution and will likely be used to bypass specific protection mechanisms. This bypass can be exploited further to potentially read data that should otherwise be unaccessible.,NA
1037,Optimizations built into the design of the processor can have unintended consequences during the execution of an application.,NA
1038,"The product uses a mechanism that automatically optimizes code, e.g. to improve a characteristic such as performance, but the optimizations can have an unintended side effect that might violate an intended security assumption.",NA
1038,The optimizations alter the order of execution resulting in side effects that were not intended by the original developer.,NA
1038,Optimizations built into the design of a product can have unintended consequences during execution.,NA
1039,"The product uses an automated mechanism such as machine learning to recognize complex data inputs (e.g. image or audio) as a particular concept or category, but it does not properly detect or handle inputs that have been modified or constructed in a way that causes the mechanism to detect a different, incorrect concept.",NA
1039,"When techniques such as machine learning are used to automatically classify input streams, and those classifications are used for security-critical decisions, then any mistake in classification can introduce a vulnerability that allows attackers to cause the product to make the wrong security decision.  If the automated mechanism is not developed or ""trained"" with enough input data, then attackers may be able to craft malicious input that intentionally triggers the incorrect classification.",NA
1039,"Targeted technologies include, but are not necessarily limited to:",NA
1039,"For example, an attacker might modify road signs or road surface markings to trick autonomous vehicles into misreading the sign/marking and performing a dangerous action.",NA
1039,"When the automated recognition is used in a protection mechanism, an attacker may be able to craft inputs that are misinterpreted in a way that grants excess privileges.",NA
1039,This issue can be introduced into the automated algorithm itself.,NA
104,"If a form bean does not extend an ActionForm subclass of the Validator framework, it can expose the application to other weaknesses related to insufficient input validation.",NA
104,"In order to use the Struts Validator, a form must extend one of the following: ValidatorForm, ValidatorActionForm, DynaValidatorActionForm, and DynaValidatorForm. You must extend one of these classes because the Struts Validator ties in to your application by implementing the validate() method in these classes. Forms derived from the ActionForm and DynaActionForm classes cannot use the Struts Validator.",NA
104,"Bypassing the validation framework for a form exposes the application to numerous types of attacks. Unchecked input is an important component of vulnerabilities like cross-site scripting, process control, and SQL injection.",NA
104,"Although J2EE applications are not generally susceptible to memory corruption attacks, if a J2EE application interfaces with native code that does not perform array bounds checking, an attacker may be able to use an input validation mistake in the J2EE application to launch a buffer overflow attack.",NA
1041,"The software has multiple functions, methods, procedures, macros, etc. that  contain the same code.",NA
1042,"The code contains a member element that is declared as static (but not final), in which  its parent class element   is not a singleton class - that is, a class element that can be used only once in  the 'to' association of a Create action.",NA
1043,The software uses a data element that has an excessively large  number of sub-elements with non-primitive data types such as structures or aggregated objects.,NA
1043,"This issue can make the software perform more slowly.  If the relevant code is reachable by an attacker, then this performance problem might introduce a vulnerability.",NA
1043,"While the interpretation of ""excessively large"" may vary for each product or developer, CISQ recommends a default of 5 sub-elements.",NA
1044,The software's architecture contains too many - or too few -  horizontal layers.,NA
1044,"This issue makes it more difficult to maintain the software, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  It also might make it easier to introduce vulnerabilities.",NA
1044,"While the interpretation of ""expected range"" may vary for each product or developer, CISQ recommends a default minimum of 4 layers and maximum of 8 layers.",NA
1045,"A parent class has a virtual destructor method, but the parent has a child class that does not have a virtual destructor.",NA
1046,The software creates an immutable text string using string concatenation operations.,NA
1047,"The software contains modules in which one module has references that cycle back to itself, i.e., there are circular dependencies.",NA
1047,"As an example, with Java, this weakness might indicate cycles between packages.",NA
1047,"This issue makes it more difficult to maintain the software due to insufficient modularity, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  It also might make it easier to introduce vulnerabilities.",NA
1047,"This issue can prevent the software from running reliably.  If the relevant code is reachable by an attacker, then this reliability problem might introduce a vulnerability.",NA
1048,"The code contains callable control elements that    contain an excessively large number of references to other    application objects external to the context of the callable,    i.e. a Fan-Out value that is excessively large.",NA
1048,"While the interpretation of ""excessively large Fan-Out value"" may vary for each product or developer, CISQ recommends a default of 5 referenced objects.",NA
1048,"This issue makes it more difficult to maintain the software, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  It also might make it easier to introduce vulnerabilities.",NA
1049,The software performs a data query with a large number of joins  and sub-queries on a large data table.,NA
1049,"This issue can make the software perform more slowly.  If the relevant code is reachable by an attacker, then this performance problem might introduce a vulnerability.",NA
1049,"While the interpretation of ""large data table"" and ""large number of joins or sub-queries"" may vary for each product or developer, CISQ recommends a default of 1 million rows for a ""large"" data table, a default minimum of 5 joins, and a default minimum of 3 sub-queries.",NA
105,"The application has a form field that is not validated by a corresponding validation form, which can introduce other weaknesses related to insufficient input validation.",NA
105,"Omitting validation for even a single input field may give attackers the leeway they need to compromise the application. Although J2EE applications are not generally susceptible to memory corruption attacks, if a J2EE application interfaces with native code that does not perform array bounds checking, an attacker may be able to use an input validation mistake in the J2EE application to launch a buffer overflow attack.",NA
105,"If unused fields are not validated, shared business logic in an action may allow attackers to bypass the validation checks that are performed for other uses of the form.",NA
105,"Some applications use the same ActionForm for more than one purpose. In situations like this, some fields may go unused under some action mappings.",NA
1050,"The software has a loop body or loop condition that contains a control element that directly or  indirectly consumes platform resources, e.g. messaging, sessions, locks, or file  descriptors.",NA
1051,The software initializes data using hard-coded values that act as network resource identifiers.,NA
1052,The software initializes a data element using a hard-coded  literal that is not a simple integer or static constant element.,NA
1053,The product does not have documentation that represents how it is designed.,NA
1054,"The code at one architectural layer invokes code that resides  at a deeper layer than the adjacent layer, i.e., the invocation skips at least one  layer, and the invoked code is not part of a vertical utility layer that can be referenced from any horizontal layer.",NA
1055,The software contains a class with inheritance from more than  one concrete class.,NA
1056,A named-callable or method control element has a signature that  supports a variable (variadic) number of parameters or arguments.,NA
1056,"This issue can prevent the software from running reliably.  If the relevant code is reachable by an attacker, then this reliability problem might introduce a vulnerability.",NA
1056,"With variadic arguments, it can be difficult or inefficient for manual analysis to be certain of which function/method is being invoked.",NA
1057,"The software uses a dedicated, central data manager component as required by design, but it contains code that performs data-access operations that do not use this data manager.",NA
1058,The code contains a function or method that  operates in a multi-threaded environment but owns an unsafe non-final        static storable or member data element.,NA
1059,"The documentation, whether on paper or in electronic form, does  not contain descriptions of all the relevant elements of the product, such as  its usage, structure, interfaces, design, implementation, configuration,  operation, etc.",NA
106,"When an application does not use an input validation framework such as the Struts Validator, there is a greater risk of introducing weaknesses related to insufficient input validation.",NA
106,"Unchecked input is the leading cause of vulnerabilities in J2EE applications. Unchecked input leads to cross-site scripting, process control, and SQL injection vulnerabilities, among others.",NA
106,"Although J2EE applications are not generally susceptible to memory corruption attacks, if a J2EE application interfaces with native code that does not perform array bounds checking, an attacker may be able to use an input validation mistake in the J2EE application to launch a buffer overflow attack.",NA
1060,The software performs too many data queries without using efficient data processing functionality such as stored procedures.,NA
1060,"This issue can make the software perform more slowly due to computational expense.  If the relevant code is reachable by an attacker, then this performance problem might introduce a vulnerability.",NA
1060,"While the interpretation of ""too many data queries"" may vary for each product or developer, CISQ recommends a default maximum of 5 data queries for an inefficient function/procedure.",NA
1061,"The software does not sufficiently hide the internal representation and implementation details of data or methods, which might allow external components or modules to modify data unexpectedly, invoke unexpected functionality, or introduce dependencies that the programmer did not intend.",NA
1062,"The code has a parent class that contains references to a child class, its methods, or its members.",NA
1063,A static code block creates an instance of a class.,NA
1063,This pattern identifies situations where a storable data element or member data element is initialized with a value in a block of code which is declared as static.,NA
1063,"This issue can make the software perform more slowly by performing initialization before it is needed.  If the relevant code is reachable by an attacker, then this performance problem might introduce a vulnerability.",NA
1064,"The software contains a function, subroutine, or method whose signature has an unnecessarily large number of  parameters/arguments.",NA
1064,"This issue makes it more difficult to understand and/or maintain the software, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  It also might make it easier to introduce vulnerabilities.",NA
1064,"While the interpretation of ""large number of parameters."" may vary for each product or developer, CISQ recommends a default maximum of 7 parameters/arguments.",NA
1065,"The application uses deployed components from application servers, but it also uses low-level functions/methods for management of resources, instead of the API provided by the application server.",NA
1066,The software contains a serializable data element that does not  have an associated serialization method.,NA
1066,"This issue can prevent the software from running reliably, e.g. by triggering an exception.  If the relevant code is reachable by an attacker, then this reliability problem might introduce a vulnerability.",NA
1066,"As examples, the serializable nature of a data element comes from a serializable SerializableAttribute attribute in .NET and the inheritance from the java.io.Serializable interface in Java.",NA
1067,The software contains a data query against an SQL table or view  that is configured in a way that does not utilize an index and may cause  sequential searches to be performed.,NA
1068,The implementation of the product is not consistent with the  design as described within the relevant documentation.,NA
1069,"An invokable code block contains an exception handling block that does not contain any code, i.e. is empty.",NA
107,An unused validation form indicates that validation logic is not up-to-date.,NA
107,It is easy for developers to forget to update validation logic when they remove or rename action form mappings. One indication that validation logic is not being properly maintained is the presence of an unused validation form.,NA
1070,"The software contains a serializable, storable data element such as a field or member,  but the data element contains member elements that are not  serializable.",NA
1070,"This issue can prevent the software from running reliably.  If the relevant code is reachable by an attacker, then this reliability problem might introduce a vulnerability.",NA
1070,"As examples, the serializable nature of a data element comes from a serializable SerializableAttribute attribute in .NET and the inheritance from the java.io.Serializable interface in Java.",NA
1071,"The source code contains a block that does not contain any code, i.e., the block is empty.",NA
1072,The software accesses a data resource through a database without using a  connection pooling capability.,NA
1073,"The software contains a client with a function or method that contains a large number of data accesses/queries that are sent through a data manager, i.e., does not use efficient database capabilities.",NA
1073,"This issue can make the software perform more slowly.  If the relevant code is reachable by an attacker, then this performance problem might introduce a vulnerability.",NA
1073,"While the interpretation of ""large number of data accesses/queries"" may vary for each product or developer, CISQ recommends a default maximum of 2 data accesses per function/method.",NA
1074,"A class has an inheritance level that is too high, i.e., it  has a large number of parent classes.",NA
1074,"This issue makes it more difficult to understand and maintain the software, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  It also might make it easier to introduce vulnerabilities.",NA
1074,"While the interpretation of ""large number of parent classes"" may vary for each product or developer, CISQ recommends a default maximum of 7 parent classes.",NA
1075,"The software performs unconditional control transfer (such as a  ""goto"") in code outside of a branching structure such as a switch  block.",NA
1076,"The product's architecture, source code, design, documentation,  or other artifact does not follow required conventions.",NA
1077,"The code performs a comparison such as an   equality test between two float (floating point) values, but   it uses comparison operators that do not account for the   possibility of loss of precision.",NA
1077,"Numeric calculation using floating point values   can generate imprecise results because of rounding errors.   As a result, two different calculations might generate   numbers that are mathematically equal, but have slightly   different bit representations that do not translate to the   same mathematically-equal values.  As a result, an equality   test or other comparison might produce unexpected   results.",NA
1077,"This issue can prevent the software from running reliably.  If the relevant code is reachable by an attacker, then this reliability problem might introduce a vulnerability.",NA
1078,"The source code does not follow   desired style or formatting for indentation, white   space, comments, etc.",NA
1079,"A parent class contains one or more child classes, but the parent class does not have a virtual destructor method.",NA
108,Every Action Form must have a corresponding validation form.,NA
108,"If a Struts Action Form Mapping specifies a form, it must have a validation form defined under the Struts Validator.",NA
108,"If an action form mapping does not have a validation form defined, it may be vulnerable to a number of attacks that rely on unchecked input. Unchecked input is the root cause of some of today's worst and most common software security problems. Cross-site scripting, SQL injection, and process control vulnerabilities all stem from incomplete or absent input validation.",NA
108,"Although J2EE applications are not generally susceptible to memory corruption attacks, if a J2EE application interfaces with native code that does not perform array bounds checking, an attacker may be able to use an input validation mistake in the J2EE application to launch a buffer overflow attack.",NA
1080,A source code file has too many lines of  code.,NA
1080,"This issue makes it more difficult to understand and/or maintain the software, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  It also might make it easier to introduce vulnerabilities.",NA
1080,"While the interpretation of ""too many lines of code"" may vary for each product or developer, CISQ recommends a default threshold value of 1000.",NA
1082,The code contains a class instance that calls the method or function to delete or destroy itself.,NA
1082,"For example, in C++, ""delete this"" will cause the object to delete itself.",NA
1082,"This issue can prevent the software from running reliably.  If the relevant code is reachable by an attacker, then this reliability problem might introduce a vulnerability.",NA
1083,"The software is intended to manage data access through a particular data manager component such as a relational or non-SQL database, but it contains code that performs data access operations without using that component.",NA
1083,"When the software has a data access component, the design may be intended to handle all data access operations through that component.  If a data access operation is performed outside of that component, then this may indicate a violation of the intended design.",NA
1083,"This issue can prevent the software from running reliably.  If the relevant code is reachable by an attacker, then this reliability problem might introduce a vulnerability.",NA
1084,A function or method contains too many  operations that utilize a data manager or file resource.,NA
1084,"This issue makes it more difficult to maintain the software, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  It also might make it easier to introduce vulnerabilities.",NA
1084,"While the interpretation of ""too many operations"" may vary for each product or developer, CISQ recommends a default maximum of 7 operations for the same data manager or file.",NA
1085,"A function, method, procedure, etc. contains an excessive amount of code that has been  commented out within its body.",NA
1085,"This issue makes it more difficult to maintain the software, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  It also might make it easier to introduce vulnerabilities.",NA
1085,"While the interpretation of ""excessive volume"" may vary for each product or developer, CISQ recommends a default threshold of 2% of commented code.",NA
1086,A class contains an unnecessarily large number of  children.,NA
1086,"This issue makes it more difficult to understand and maintain the software, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  It also might make it easier to introduce vulnerabilities.",NA
1086,"While the interpretation of ""large number of children"" may vary for each product or developer, CISQ recommends a default maximum of 10 child classes.",NA
1087,"A class contains a virtual method, but the method does not have an associated virtual destructor.",NA
1088,"The code has a synchronous call to a remote resource, but there is no timeout for the call, or the timeout is set to infinite.",NA
1089,The software uses a large data table that contains an excessively large number of  indices.,NA
1089,"This issue can make the software perform more slowly.  If the relevant code is reachable by an attacker, then this performance problem might introduce a vulnerability.",NA
1089,"While the interpretation of ""large data table"" and ""excessively large number of indices"" may vary for each product or developer, CISQ recommends a default threshold of 1000000 rows for a ""large"" table and a default threshold of 3 indices.",NA
109,"Automatic filtering via a Struts bean has been turned off, which disables the Struts Validator and custom validation logic. This exposes the application to other weaknesses related to insufficient input validation.",NA
1090,A method for a class performs an operation that directly  accesses a member element from another class.,NA
1091,The software contains a method that accesses an object but does not later invoke  the element's associated finalize/destructor method.,NA
1092,The software uses the same control element across multiple  architectural layers.,NA
1093,The software uses an unnecessarily complex internal representation for its data structures or interrelationships between those structures.,NA
1094,"The software contains an index range scan for a large data table,  but the scan can cover a large number of rows.",NA
1094,"This issue can make the software perform more slowly.  If the relevant code is reachable by an attacker, then this performance problem might introduce a vulnerability.",NA
1094,"While the interpretation of ""large data table"" and ""excessive index range"" may vary for each product or developer, CISQ recommends a threshold of 1000000 table rows and a threshold of 10 for the index range.",NA
1095,The software uses a loop with a control flow condition based on  a value that is updated within the body of the loop.,NA
1096,The software implements a Singleton design pattern but does not use appropriate locking or other synchronization mechanism to ensure that the singleton class is only instantiated once.,NA
1097,The software uses a storable data element that does not have  all of the associated functions or methods that are necessary to support  comparison.,NA
1097,"For example, with Java, a class that is made persistent requires both hashCode() and equals() methods to be defined.",NA
1097,"This issue can prevent the software from running reliably, due to incorrect or unexpected comparison results.  If the relevant code is reachable by an attacker, then this reliability problem might introduce a vulnerability.",NA
1098,The code contains a data element with a pointer that does not have an associated copy or constructor method.,NA
1099,"The product's code, documentation, or other artifacts do not  consistently use the same naming conventions for variables, callables, groups of  related callables, I/O capabilities, data types, file names, or similar types of  elements.",NA
11,Debugging messages help attackers learn about the system and plan a form of attack.,NA
11,ASP .NET applications can be configured to produce debug binaries. These binaries give detailed debugging messages and should not be used in production environments. Debug binaries are meant to be used in a development or testing environment and can pose a security risk if they are deployed to production.,NA
11,The debug attribute of the <compilation> tag defines whether compiled binaries should include debugging information. The use of debug binaries causes an application to provide as much information about itself as possible to the user.,NA
11,"Attackers can leverage the additional information they gain from debugging output to mount attacks targeted on the framework, database, or other resources used by the application.",NA
110,Validation fields that do not appear in forms they are associated with indicate that the validation logic is out of date.,NA
110,It is easy for developers to forget to update validation logic when they make changes to an ActionForm class. One indication that validation logic is not being properly maintained is inconsistencies between the action form and the validation form.,NA
110,"Although J2EE applications are not generally susceptible to memory corruption attacks, if a J2EE application interfaces with native code that does not perform array bounds checking, an attacker may be able to use an input validation mistake in the J2EE application to launch a buffer overflow attack.",NA
110,"It is critically important that validation logic be maintained and kept in sync with the rest of the application. Unchecked input is the root cause of some of today's worst and most common software security problems. Cross-site scripting, SQL injection, and process control vulnerabilities all stem from incomplete or absent input validation.",NA
1100,The product or code does not isolate system-dependent  functionality into separate standalone modules.,NA
1101,The product uses automatically-generated code that cannot be  executed without a specific runtime support component.,NA
1102,"The code uses a data representation that relies on low-level  data representation or constructs that may vary across different processors,  physical machines, OSes, or other physical components.",NA
1103,The product relies on third-party software components that do  not provide equivalent functionality across all desirable  platforms.,NA
1104,The product relies on third-party components that are not  actively supported or maintained by the original developer or a trusted proxy  for the original developer.,NA
1104,"Reliance on components that are no longer maintained can make it difficult or impossible to fix significant bugs, vulnerabilities, or quality issues. In effect, unmaintained code can become obsolete.",NA
1104,"This issue makes it more difficult to maintain the software, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  It also might make it easier to introduce vulnerabilities.",NA
1105,"The product or code uses machine-dependent functionality, but  it does not sufficiently encapsulate or isolate this functionality from  the rest of the code.",NA
1106,"The source code uses literal constants that may need to change  or evolve over time, instead of using symbolic constants.",NA
1107,"The source code uses symbolic constants, but it does not  sufficiently place the definitions of these constants into a more centralized or  isolated location.",NA
1108,"The code is structured in a way that relies too much on using  or setting global variables throughout various points in the code, instead of  preserving the associated information in a narrower, more local  context.",NA
1109,"The code contains a callable, block, or other code element in  which the same variable is used to control more than one unique task or store  more than one instance of data.",NA
1109,"Use of the same variable for multiple purposes can make it more difficult for a person to read or understand the code, potentially hiding other quality issues.",NA
1109,"This issue makes it more difficult to maintain the software, which indirectly affects security by making it more difficult or time-consuming to find and/or fix vulnerabilities.  It also might make it easier to introduce vulnerabilities.",NA
111,"When a Java application uses the Java Native Interface (JNI) to call code written in another programming language, it can expose the application to weaknesses in that code, even if those weaknesses cannot occur in Java.",NA
111,"Many safety features that programmers may take for granted simply do not apply for native code, so you must carefully review all such code for potential problems. The languages used to implement native code may be more susceptible to buffer overflows and other attacks. Native code is unprotected by the security features enforced by the runtime environment, such as strong typing and array bounds checking.",NA
1110,"The product's design documentation does not adequately describe  control flow, data flow, system initialization, relationships between tasks,  components, rationales, or other important aspects of the  design.",NA
1111,"The product's documentation does not adequately define inputs,  outputs, or system/software interfaces.",NA
1112,The document does not fully define all mechanisms that are used  to control or influence how product-specific programs are  executed.,NA
1113,The source code uses comment styles or formats that are  inconsistent or do not follow expected standards for the  product.,NA
1114,The source code contains whitespace that is inconsistent across  the code or does not follow expected standards for the  product.,NA
1115,The source code contains elements such as source files   that do not consistently provide a prologue or header that has been  standardized for the project.,NA
