CWE-ID,Description,CVE
1004,"CMS written in Python does not include the HTTPOnly flag in a Set-Cookie header, allowing remote attackers to obtain potentially sensitive information via script access to this cookie.",CVE-2014-3852
1004,Appliance for managing encrypted communications does not use HttpOnly flag.,CVE-2015-4138
1007,web forum allows impersonation of users with homoglyphs in account names,CVE-2013-7236
1007,Improper character restriction in URLs in web browser,CVE-2012-0584
1007,"Incomplete blacklist does not include homoglyphs of ""/"" and ""?"" characters in URLs",CVE-2009-0652
1007,"web browser does not convert hyphens to punycode, allowing IDN spoofing in URLs",CVE-2017-5015
1007,homoglyph spoofing using punycode in URLs and certificates,CVE-2005-0233
1007,homoglyph spoofing using punycode in URLs and certificates,CVE-2005-0234
1007,homoglyph spoofing using punycode in URLs and certificates,CVE-2005-0235
1007,"The International Domain Name (IDN) support in Firefox 1.0, Camino .8.5, and Mozilla before 1.7.6 allows remote attackers to spoof domain names using punycode encoded domain names that are decoded in URLs and SSL certificates in a way that uses homograph characters from other character sets, which facilitates phishing attacks.",CVE-2005-0233
1007,"The International Domain Name (IDN) support in Safari 1.2.5 allows remote attackers to spoof domain names using punycode encoded domain names that are decoded in URLs and SSL certificates in a way that uses homograph characters from other character sets, which facilitates phishing attacks.",CVE-2005-0234
1007,"The International Domain Name (IDN) support in Opera 7.54 allows remote attackers to spoof domain names using punycode encoded domain names that are decoded in URLs and SSL certificates in a way that uses homograph characters from other character sets, which facilitates phishing attacks.",CVE-2005-0235
1021,E-mail preview feature in a desktop application allows clickjacking attacks via a crafted e-mail message,CVE-2017-7440
1021,Hardware/firmware product has insufficient clickjacking protection in its web user interface,CVE-2017-5697
1021,Clickjacking in data-loss prevention product via HTTP response header.,CVE-2017-4015
1021,Tapjacking in permission dialog for mobile OS allows access of private storage using a partially-overlapping window.,CVE-2016-2496
1021,Tapjacking in web browser related to page navigation and touch/gesture events.,CVE-2015-1241
1021,System UI in mobile OS allows a malicious application to create a UI overlay of the entire screen to gain privileges.,CVE-2017-0492
1037,"Intel, ARM, and AMD processor optimizations related to speculative execution and branch prediction cause access control checks to be bypassed when placing data into the cache. Often known as ""Spectre"".",CVE-2017-5715
1037,"Intel, ARM, and AMD processor optimizations related to speculative execution and branch prediction cause access control checks to be bypassed when placing data into the cache. Often known as ""Spectre"".",CVE-2017-5753
1037,"Intel processor optimizations related to speculative execution cause access control checks to be bypassed when placing data into the cache. Often known as ""Meltdown"".",CVE-2017-5754
113,"Application accepts CRLF in an object ID, allowing HTTP response splitting.",CVE-2004-2146
113,HTTP response splitting via CRLF in parameter related to URL.,CVE-2004-1620
113,HTTP response splitting via CRLF in parameter related to URL.,CVE-2004-1656
113,Bulletin board allows response splitting via CRLF in parameter.,CVE-2005-2060
113,Bulletin board allows response splitting via CRLF in parameter.,CVE-2005-2065
113,Response splitting via CRLF in PHPSESSID.,CVE-2004-2512
113,"Chain: Application accepts CRLF in an object ID, allowing HTTP response splitting.",CVE-2005-1951
113,Chain: HTTP response splitting via CRLF in parameter related to URL.,CVE-2004-1687
113,CRLF injection vulnerability in PD9 Software MegaBBS 2 and 2.1 allows attackers to conduct HTTP response splitting attacks via the fid parameter in a writenew action to thread-post.asp.,CVE-2004-2146
113,"CRLF injection vulnerability in Serendipity before 0.7rc1 allows remote attackers to perform HTTP Response Splitting attacks to modify expected HTML content from the server via the url parameter in (1) index.php and (2) exit.php, or (3) the HTTP Referer field in comment.php.",CVE-2004-1620
113,CRLF injection vulnerability in Comersus Shopping Cart 5.0991 allows remote attackers to perform HTTP Response Splitting attacks to modify expected HTML content from the server via the redirecturl parameter.,CVE-2004-1656
